link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP05-Cell0008,-125,0,-112,0,250.5
EP05-Cell0009,-245,0,-232,0,250.5
EP05-Cell0010,-15.5,-0.8,-2.5,0.8,244.2
EP05-Cell0011,-135.5,-0.8,-122.5,0.8,244.2
EP05-Cell0012,-255.5,-0.8,-242.5,0.8,244.2
EP05-Cell0013,-5.9,-0.6,7.1,0.6,240.6
EP05-Cell0014,-125.9,-0.6,-112.9,0.6,240.6
EP05-Cell0015,-245.9,-0.6,-232.9,0.6,240.6
EP05-Cell0016,-18.7,-0.1,-5.7,0.1,245.8
EP05-Cell0017,-138.7,-0.1,-125.7,0.1,245.8
EP05-Cell0018,-258.7,-0.1,-245.7,0.1,245.8
EP05-Cell0019,-11.2,-0.2,1.8,0.2,248
EP05-Cell0020,-131.2,-0.2,-118.2,0.2,248
EP05-Cell0021,-251.2,-0.2,-238.2,0.2,248
EP05-Cell0022,-30.8,-0.3,-17.8,0.3,242
EP05-Cell0023,-150.8,-0.3,-137.8,0.3,242
EP05-Cell0024,-270.8,-0.3,-257.8,0.3,242
EP05-Cell0025,-18.9,-1.2,-5.9,1.2,232.2
EP05-Cell0026,-138.9,-1.2,-125.9,1.2,232.2
EP05-Cell0027,-258.9,-1.2,-245.9,1.2,232.2
EP05-Cell0028,2.7,0,15.7,0,247.3
EP05-Cell0029,-117.3,0,-104.3,0,247.3
EP05-Cell0030,-237.3,0,-224.3,0,247.3
EP05-Cell0031,2.1,-0.3,15.1,0.3,245.4
EP05-Cell0032,-117.9,-0.3,-104.9,0.3,245.4
EP05-Cell0033,-237.9,-0.3,-224.9,0.3,245.4
EP05-Cell0034,-9.8,0.2,3.2,-0.2,250
EP05-Cell0035,-129.8,0.2,-116.8,-0.2,250
EP05-Cell0036,-249.8,0.2,-236.8,-0.2,250
EP05-Cell0037,-23.3,0.1,-10.3,-0.1,252
EP05-Cell0038,-143.3,0.1,-130.3,-0.1,252
EP05-Cell0039,-263.3,0.1,-250.3,-0.1,252
EP05-Cell0040,-25.8,-0.2,-12.8,0.2,248.6
EP05-Cell0041,-145.8,-0.2,-132.8,0.2,248.6
EP05-Cell0042,-265.8,-0.2,-252.8,0.2,248.6
EP05-Cell0043,-7.3,-0.9,5.7,0.9,237.8
EP05-Cell0044,-127.3,-0.9,-114.3,0.9,237.8
EP05-Cell0045,-247.3,-0.9,-234.3,0.9,237.8
EP05-Cell0046,2.4,-0.2,15.4,0.2,242.8
EP05-Cell0047,-117.6,-0.2,-104.6,0.2,242.8
EP05-Cell0048,-237.6,-0.2,-224.6,0.2,242.8
EP05-Cell0049,-4.3,0.1,8.7,-0.1,249.5
EP05-Cell0050,-124.3,0.1,-111.3,-0.1,249.5
EP05-Cell0051,-244.3,0.1,-231.3,-0.1,249.5
EP05-Cell0052,-16.4,0.2,-3.4,-0.2,249.5
EP05-Cell0053,-136.4,0.2,-123.4,-0.2,249.5
EP05-Cell0054,-256.4,0.2,-243.4,-0.2,249.5
EP05-Cell0055,-26.6,-0.4,-13.6,0.4,243.3
EP05-Cell0056,-146.6,-0.4,-133.6,0.4,243.3
EP05-Cell0057,-266.6,-0.4,-253.6,0.4,243.3
EP06-Cell0001,7,0.1,0,-0.1,240.2
EP06-Cell0002,-113,0.1,-120,-0.1,240.2
EP06-Cell0003,-233,0.1,-240,-0.1,240.2
EP06-Cell0004,0.8,0.1,-6.2,-0.1,206.1
EP06-Cell0005,-119.2,0.1,-126.2,-0.1,206.1
EP06-Cell0006,-239.2,0.1,-246.2,-0.1,206.1
EP06-Cell0007,12.3,0.4,5.3,-0.4,250.3
EP06-Cell0008,-107.7,0.4,-114.7,-0.4,250.3
EP06-Cell0009,-227.7,0.4,-234.7,-0.4,250.3
EP06-Cell0010,7.9,-0.1,0.9,0.1,235.3
EP06-Cell0011,-112.1,-0.1,-119.1,0.1,235.3
EP06-Cell0012,-232.1,-0.1,-239.1,0.1,235.3
EP06-Cell0013,13.8,0,6.8,0,241.7
EP06-Cell0014,-106.2,0,-113.2,0,241.7
EP06-Cell0015,-226.2,0,-233.2,0,241.7
EP06-Cell0016,0.8,0.3,-6.2,-0.3,234.6
EP06-Cell0017,-119.2,0.3,-126.2,-0.3,234.6
EP06-Cell0018,-239.2,0.3,-246.2,-0.3,234.6
EP06-Cell0019,6.3,0.2,-0.7,-0.2,242.2
EP06-Cell0020,-113.7,0.2,-120.7,-0.2,242.2
EP06-Cell0021,-233.7,0.2,-240.7,-0.2,242.2
EP06-Cell0022,-6.2,0.2,-13.2,-0.2,199.3
EP06-Cell0023,-126.2,0.2,-133.2,-0.2,199.3
EP06-Cell0024,-246.2,0.2,-253.2,-0.2,199.3
EP06-Cell0025,9.1,-0.4,2.1,0.4,212.4
EP06-Cell0026,-110.9,-0.4,-117.9,0.4,212.4
EP06-Cell0027,-230.9,-0.4,-237.9,0.4,212.4
EP06-Cell0028,21.2,0.4,14.2,-0.4,249
EP06-Cell0029,-98.8,0.4,-105.8,-0.4,249
EP06-Cell0030,-218.8,0.4,-225.8,-0.4,249
EP06-Cell0031,16.9,0.1,9.9,-0.1,242
EP06-Cell0032,-103.1,0.1,-110.1,-0.1,242
EP06-Cell0033,-223.1,0.1,-230.1,-0.1,242
EP06-Cell0034,5.7,0.5,-1.3,-0.5,247.1
EP06-Cell0035,-114.3,0.5,-121.3,-0.5,247.1
EP06-Cell0036,-234.3,0.5,-241.3,-0.5,247.1
EP06-Cell0037,-4.7,0.5,-11.7,-0.5,244.2
