fs_id,snapshot,inr_db,interf_dbm
EP04,13,-50.68031665501809,-146.15771177371766
EP04,14,-55.22897438872951,-150.7063695074291
EP04,15,-57.5700612556883,-153.04745637438788
EP04,16,-56.60009672498151,-152.0774918436811
EP04,17,-61.31786028158746,-156.79525540028703
EP04,18,-59.974499300516584,-155.45189441921616
EP04,19,-56.2836372484401,-151.76103236713968
EP04,20,-62.185804722418624,-157.6631998411182
EP04,21,-57.012725969104,-152.49012108780357
EP04,22,-56.71356530300082,-152.1909604217004
EP04,23,-63.499123001034064,-158.97651811973364
EP04,24,-60.31988030785686,-155.79727542655644
EP04,25,-55.97881290261543,-151.456208021315
EP04,26,-60.97469058845584,-156.45208570715542
EP04,27,-59.92006786580694,-155.39746298450652
EP04,28,-59.328804657480106,-154.80619977617968
EP04,29,-53.7509974127685,-149.22839253146807
EP04,30,-54.32061501641567,-149.79801013511525
EP04,31,-64.4703615829481,-159.94775670164768
EP04,32,-63.34666415964281,-158.8240592783424
EP04,33,-43.83124603661645,-139.30864115531602
EP04,34,-66.14089184282369,-161.61828696152327
EP04,35,-59.569668117253514,-155.0470632359531
EP04,36,-63.347143130743206,-158.82453824944278
EP04,37,-67.2510944307499,-162.72848954944948
EP04,38,-55.116544998117234,-150.5939401168168
EP04,39,-56.27812839478824,-151.75552351348782
EP04,40,-55.78435572280139,-151.26175084150097
EP04,41,-59.44300265499237,-154.92039777369195
EP04,42,-63.76315482731047,-159.24054994601005
EP04,43,-53.09333037835947,-148.57072549705904
EP04,44,-62.34950093177832,-157.8268960504779
EP04,45,-50.08933163336741,-145.56672675206698
EP04,46,-45.885582092234245,-141.36297721093382
EP04,47,-64.98512612521526,-160.46252124391484
EP04,48,-74.38223812954334,-169.85963324824291
EP04,49,-54.0967630652672,-149.57415818396677
EP04,50,-69.01904903598395,-164.49644415468353
EP04,51,-55.282179199735936,-150.7595743184355
EP04,52,-63.425445592448284,-158.90284071114786
EP04,53,-58.695360577067845,-154.17275569576742
EP04,54,-45.25235509319472,-140.7297502118943
EP04,55,-53.64162879986699,-149.11902391856657
EP04,56,-53.786610602029896,-149.26400572072947
EP04,57,-49.31224240926838,-144.78963752796795
EP04,58,-61.527769285411296,-157.00516440411087
EP04,59,-56.477136524721885,-151.95453164342146
EP04,60,-44.770153459046014,-140.2475485777456
EP04,61,-48.52766642975223,-144.0050615484518
EP04,62,-53.862760435241654,-149.34015555394123
EP04,63,-63.69117969613703,-159.1685748148366
EP04,64,-56.4492826213081,-151.92667774000768
EP04,65,-54.85252822399039,-150.32992334268997
EP04,66,-51.85552380046471,-147.33291891916429
EP04,67,-51.37541718911959,-146.85281230781916
EP04,68,-68.1042938330018,-163.58168895170138
EP04,69,-46.958879669728105,-142.43627478842768
EP04,70,-51.719513075990676,-147.19690819469025
EP04,71,-59.59633753163226,-155.07373265033183
EP04,72,-55.644058939786675,-151.12145405848625
EP04,73,-48.82788997449657,-144.30528509319615
EP04,74,-65.4808275961175,-160.95822271481708
EP04,75,-56.4962298475493,-151.97362496624888
EP04,76,-58.21793143618342,-153.695326554883
EP04,77,-56.56668591242777,-152.04408103112735
EP04,78,-66.23988968190474,-161.71728480060432
EP04,79,-63.09172937919416,-158.56912449789374
EP04,80,-58.370150210318855,-153.84754532901843
EP04,81,-52.54825746867613,-148.0256525873757
EP04,82,-49.78409447883001,-145.2614895975296
EP04,83,-59.44451361751294,-154.92190873621252
EP04,84,-47.81569021352462,-143.2930853322242
EP04,85,-58.49402835148322,-153.9714234701828
EP04,86,-43.94088599903856,-139.41828111773813
EP04,87,-60.78825129246957,-156.26564641116914
EP04,88,-65.08838146456998,-160.56577658326955
EP04,89,-58.56047455801004,-154.03786967670962
EP04,90,-59.69650172760987,-155.17389684630945
EP04,91,-62.674556018390774,-158.15195113709035
EP04,92,-71.82830336405405,-167.30569848275363
EP04,93,-67.35029254887698,-162.82768766757655
EP04,94,-52.09957834055706,-147.57697345925664
EP04,95,-60.24906023093084,-155.7264553496304
EP04,96,-57.27006870616151,-152.7474638248611
EP04,97,-66.55245981567015,-162.02985493436972
EP04,98,-50.844611471875425,-146.322006590575
EP04,99,-68.22675035065475,-163.70414546935433
EP04,100,-58.99410614913813,-154.4715012678377
EP05,1,-71.41699512265555,-166.89439024135513
EP05,2,-72.10905363790269,-167.58644875660227
EP05,3,-76.10428000053037,-171.58167511922994
EP05,4,-63.99682145501532,-159.4742165737149
EP05,5,-66.40836281378358,-161.88575793248316
EP05,6,-66.19410828103761,-161.6715033997372
EP05,7,-79.59941473805407,-175.07680985675364
EP05,8,-86.81029844062573,-182.2876935593253
EP05,9,-71.13914045448135,-166.61653557318093
EP05,10,-71.68306004634604,-167.16045516504562
EP05,11,-61.13228968312691,-156.6096848018265
