fs_id,snapshot,inr_db,interf_dbm
EP15,7,-29.177646061613302,-124.65504118031288
EP15,8,-30.685672994838768,-126.16306811353834
EP15,9,-33.014265232703394,-128.49166035140297
EP15,10,-37.67642235680236,-133.15381747550194
EP15,11,-31.872006775053762,-127.34940189375334
EP15,12,-5.8556569934993234,-101.3330521121989
EP15,13,-26.08428833736447,-121.56168345606405
EP15,14,-15.575139402096,-111.05253452079558
EP15,15,-20.34277646506233,-115.8201715837619
EP15,16,-20.250726282313906,-115.72812140101348
EP15,17,-25.86417466846946,-121.34156978716904
EP15,18,-26.408613187135018,-121.8860083058346
EP15,19,-18.429899312431218,-113.9072944311308
EP15,20,-31.318093660173417,-126.795488778873
EP16,1,-15.666779574149587,-111.14417469284916
EP16,2,-14.092698134031139,-109.57009325273071
EP16,3,-31.166656810578743,-126.64405192927832
EP16,4,-46.39389454216061,-141.87128966086019
EP16,5,-24.25305463601204,-119.73044975471161
EP16,6,-18.76603304329045,-114.24342816199002
EP16,7,-29.49990778479355,-124.97730290349313
EP16,8,-42.89064477446857,-138.36803989316815
EP16,9,-24.324630195383833,-119.80202531408341
EP16,10,-35.19912163266693,-130.6765167513665
EP16,11,-14.552482893670856,-110.02987801237043
EP16,12,-24.100031214102785,-119.57742633280236
EP16,13,-16.956719861315435,-112.43411498001501
EP16,14,-13.815180087245693,-109.29257520594527
EP16,15,-15.43755043504757,-110.91494555374715
EP16,16,-27.110943055925702,-122.58833817462528
EP16,17,-2.011990339786877,-97.48938545848645
EP16,18,-28.06746781503017,-123.54486293372975
EP16,19,-34.272491573002924,-129.7498866917025
EP16,20,-44.6416047163699,-140.11899983506947
EP17,1,-46.615394494859146,-142.09278961355872
EP17,2,-47.90839727424023,-143.3857923929398
EP17,3,-50.12533279099421,-145.60272790969378
EP17,4,-31.437516334371423,-126.914911453071
EP17,5,-50.28550816556708,-145.76290328426666
EP17,6,-52.95426806187356,-148.43166318057314
EP17,7,-40.26547707127895,-135.74287218997853
EP17,8,-45.077005767795015,-140.5544008864946
EP17,9,-32.556530932157045,-128.03392605085662
EP17,10,-38.81894852923517,-134.29634364793475
EP17,11,-45.92116277669544,-141.39855789539502
EP17,12,-43.43569671203417,-138.91309183073375
EP17,13,-42.034423927477235,-137.5118190461768
EP17,14,-36.15279820783684,-131.6301933265364
EP17,15,-53.752157106774604,-149.22955222547418
EP17,16,-37.895464645058894,-133.37285976375847
EP17,17,-48.15621022860586,-143.63360534730543
EP17,18,-42.69516874274245,-138.17256386144203
EP17,19,-45.942785341455306,-141.42018046015488
EP17,20,-48.995700342962664,-144.47309546166224
EP18,1,-48.96346197056357,-144.44085708926315
EP18,2,-47.27799559945191,-142.7553907181515
EP18,3,-41.670321592756665,-137.14771671145624
EP18,4,-45.86148676284952,-141.3388818815491
EP18,5,-39.934890282316815,-135.4122854010164
EP18,6,-49.39848575722806,-144.87588087592763
EP18,7,-41.84729977966154,-137.32469489836112
EP18,8,-38.21211636937929,-133.68951148807886
EP18,9,-42.247034993746695,-137.72443011244627
EP18,10,-47.99887804703829,-143.47627316573787
EP18,11,-40.54168466947789,-136.01907978817746
EP18,12,-42.51557628363048,-137.99297140233006
EP18,13,-49.69248911743023,-145.1698842361298
EP18,14,-38.56348975952807,-134.04088487822764
EP18,15,-36.67494595935605,-132.15234107805563
EP18,16,-37.433162118335815,-132.9105572370354
EP18,17,-34.47031324228172,-129.9477083609813
EP18,18,-42.32670260590578,-137.80409772460536
EP18,19,-41.713304271374994,-137.19069939007457
EP18,20,-45.52923161328664,-141.00662673198622
EP19,1,-63.561578462729614,-159.0389735814292
EP19,2,-72.33955886304929,-167.81695398174887
EP19,3,-69.98079642042174,-165.45819153912132
EP19,4,-62.92583739215368,-158.40323251085326
EP19,5,-60.94626517009894,-156.42366028879852
EP19,6,-75.37075450330224,-170.8481496220018
EP19,7,-56.44240662030239,-151.91980173900197
EP19,8,-64.74064841296004,-160.21804353165962
EP19,9,-62.80751841091802,-158.2849135296176
EP19,10,-61.294639304149854,-156.77203442284943
EP19,11,-60.17413280887115,-155.65152792757073
EP19,12,-61.85859176314352,-157.3359868818431
